Model,Replication,Accuracy,F1 Score,ROC AUC,Precision, Best Parameters
Random Forest,22,0.9580,0.9597,0.9907,0.9662,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,23,0.9755,0.9732,0.9991,0.9922,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9615,0.9630,0.9910,0.9597,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,24,0.9685,0.9677,0.9976,0.9441,"{'C': 10, 'max_iter': 10000}"
Random Forest,24,0.9476,0.9488,0.9893,0.9205,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,25,0.9860,0.9858,0.9949,0.9720,"{'C': 10, 'max_iter': 10000}"
Random Forest,25,0.9580,0.9580,0.9903,0.9514,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,26,0.9755,0.9769,0.9988,0.9548,"{'C': 10, 'max_iter': 10000}"
Random Forest,26,0.9545,0.9544,0.9911,0.9714,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,27,0.9825,0.9843,0.9995,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,27,0.9510,0.9507,0.9922,0.9441,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,28,0.9790,0.9806,0.9992,0.9935,"{'C': 10, 'max_iter': 10000}"
Random Forest,28,0.9720,0.9722,0.9968,0.9790,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,29,0.9755,0.9749,0.9975,0.9714,"{'C': 10, 'max_iter': 10000}"
Random Forest,29,0.9545,0.9537,0.9892,0.9781,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,30,0.9755,0.9749,0.9958,0.9510,"{'C': 10, 'max_iter': 10000}"
Random Forest,30,0.9615,0.9635,0.9894,0.9539,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,31,0.9825,0.9817,0.9944,0.9853,"{'C': 10, 'max_iter': 10000}"
Random Forest,31,0.9580,0.9592,0.9900,0.9658,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,32,0.9825,0.9832,0.9970,0.9733,"{'C': 10, 'max_iter': 10000}"
Random Forest,32,0.9755,0.9766,0.9988,0.9865,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,33,0.9615,0.9627,0.9879,0.9467,"{'C': 10, 'max_iter': 10000}"
Random Forest,33,0.9580,0.9556,0.9948,0.9627,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,34,0.9895,0.9895,0.9978,0.9860,"{'C': 10, 'max_iter': 10000}"
Random Forest,34,0.9371,0.9392,0.9887,0.9586,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,35,0.9685,0.9677,0.9971,0.9643,"{'C': 10, 'max_iter': 10000}"
Random Forest,35,0.9545,0.9502,0.9914,0.9688,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,36,0.9685,0.9689,0.9921,0.9655,"{'C': 10, 'max_iter': 10000}"
Random Forest,36,0.9580,0.9595,0.9955,0.9660,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,37,0.9685,0.9709,0.9965,0.9554,"{'C': 10, 'max_iter': 10000}"
Random Forest,37,0.9755,0.9747,0.9966,0.9783,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,38,0.9825,0.9828,0.9993,0.9931,"{'C': 10, 'max_iter': 10000}"
Random Forest,38,0.9720,0.9716,0.9915,0.9786,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,39,0.9685,0.9707,0.9926,0.9613,"{'C': 1, 'max_iter': 10000}"
Random Forest,39,0.9615,0.9627,0.9921,0.9660,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,40,0.9685,0.9699,0.9906,0.9603,"{'C': 10, 'max_iter': 10000}"
Random Forest,40,0.9650,0.9635,0.9956,0.9778,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
